customer_id,loan_id,pan_number,application_date,disbursement_date,age,gender,state,city_tier,pincode,employment_type,years_employed,monthly_income,loan_amount,loan_tenure_months,loan_purpose,loan_type,interest_rate,cibil_score,existing_loans,credit_utilization,dpd_30_count,dpd_60_count,dpd_90_count,bureau_inquiries_6m,oldest_account_age_months,total_credit_limit,number_of_credit_cards,bureau_last_updated,default_12m,repeat_applicant_flag,pan_valid_flag,app_year,app_month,app_quarter,bureau_age_days,bureau_stale_flag,ntc_flag,dpd_30_count_missing,dpd_60_count_missing,dpd_90_count_missing,bureau_inquiries_6m_missing,oldest_account_age_months_missing,existing_loans_missing,number_of_credit_cards_missing,pincode_valid_flag,monthly_emi_est,foir,income_to_loan_ratio,annual_income,loan_to_income_ratio,delinquency_score,any_dpd_90_flag,any_delinquency_flag,bureau_stress_index,high_foir_flag,low_income_flag,high_loan_flag,cibil_band,employment_stability,loan_size_cat,age_band,foir_band,cibil_band_woe,emp_type_woe,age_band_woe,loan_size_woe
CUST0243891,LN00243891,ABCDE9691F,2024-12-30,2025-01-03,56,Female,Punjab,1,215042.0,Self-Employed,4.4,55297.0,112213.0,24,,Unsecured,11.7,745.0,5.0,0.3323,0.0,0.0,-1.0,1.0,43.0,689998.0,0.0,2024-11-09,0,0,1,2024,12,4,51.0,0,0,0,0,1,0,0,0,0,1,5143.0,0.093,5.9134,663564.0,0.1691,0.0,0,0,1,0,0,0,4_good,1,Medium,51-65,<30%,1.2642628834533345,-0.021608542694506818,-0.0035776705345742085,0.0051811910962659274
CUST0469810,LN00469810,ABCDE1122F,2024-12-30,2025-01-03,55,Male,Odisha,1,243058.0,Self-Employed,1.2,41755.0,177128.0,36,Education,Unsecured,17.93,-1.0,1.0,0.1025,0.0,0.0,0.0,2.0,210.0,1771557.0,0.0,2024-09-01,0,0,1,2024,12,4,120.0,1,1,0,0,0,0,0,0,0,1,5412.0,0.1296,2.8288,501060.0,0.3535,0.0,0,0,1,0,0,0,0_ntc,1,Medium,51-65,<30%,-0.0996032424277411,-0.021608542694506818,-0.0035776705345742085,0.0051811910962659274
CUST0394824,LN00394824,ABCDE2163F,2024-12-30,2025-01-03,60,Male,West Bengal,3,584200.0,Self-Employed,0.9,16293.0,2168191.52,36,Personal,Unsecured,12.23,569.0,2.0,0.2133,0.0,0.0,0.0,3.0,183.0,1038860.0,1.0,,1,0,1,2024,12,4,,0,0,0,0,0,0,0,0,0,1,66250.0,0.95,0.0902,195516.0,11.0896,0.0,0,0,0,1,1,1,1_poor,1,Very Large,51-65,>75%,-1.569945287585048,-0.021608542694506818,-0.0035776705345742085,-0.09875114215041046
CUST0270289,LN00270289,ABCDE3358F,2024-12-30,2025-01-10,48,Male,Maharashtra,1,423384.0,Salaried,2.8,55778.0,106224.0,48,Home Renovation,Unsecured,22.1,642.0,1.0,0.5297,1.0,1.0,0.0,0.0,238.0,905059.0,0.0,2024-11-02,0,0,1,2024,12,4,58.0,0,0,0,0,0,0,0,0,0,1,2434.0,0.0436,6.3012,669336.0,0.1587,3.0,0,1,0,0,0,0,2_below_avg,3,Medium,41-50,<30%,-0.4418293481453998,0.05201670575236686,-0.09958427303485602,0.0051811910962659274
CUST0006521,LN00006521,ABCDE6606F,2024-12-30,2025-01-03,63,Female,Karnataka,2,562095.0,Salaried,0.9,55788.5,90178.0,24,Home Renovation,Unsecured,19.26,603.0,1.0,0.3985,0.0,0.0,1.0,0.0,14.0,1038860.0,3.0,2024-12-10,1,0,1,2024,12,4,20.0,0,0,0,0,0,0,0,0,0,1,4133.0,0.0741,7.4238,669462.0,0.1347,4.0,1,1,0,0,0,0,2_below_avg,3,Small,51-65,<30%,-0.4418293481453998,0.05201670575236686,-0.0035776705345742085,0.004894942648551049
CUST0476600,LN00476600,ABCDE8951F,2024-12-30,2025-01-13,36,Female,Punjab,3,727039.0,Salaried,5.4,77810.0,278443.0,48,Education,Unsecured,15.21,652.0,1.0,0.0558,0.0,0.0,1.0,2.0,99.0,1131548.0,0.0,2024-12-04,0,0,1,2024,12,4,26.0,0,0,0,0,0,0,0,0,0,1,6381.0,0.082,3.3534,933720.0,0.2982,4.0,1,1,0,0,0,0,3_average,3,Medium,31-40,<30%,1.193165060681326,0.05201670575236686,0.019888728292701774,0.0051811910962659274
CUST0275281,LN00275281,ABCDE2556F,2024-12-30,2025-01-10,38,Male,Tamil Nadu,1,439507.0,Salaried,0.5,51006.0,209618.0,48,Home Renovation,Unsecured,13.58,649.0,1.0,0.2679,0.0,0.0,0.0,0.0,219.0,255286.0,0.0,2024-07-26,1,0,1,2024,12,4,157.0,1,0,0,0,0,0,0,0,0,1,4804.0,0.0942,2.9199,612072.0,0.3425,0.0,0,0,0,0,0,0,2_below_avg,3,Medium,31-40,<30%,-0.4418293481453998,0.05201670575236686,0.019888728292701774,0.0051811910962659274
CUST0101357,LN00101357,ABCDE5616F,2024-12-30,2025-01-06,23,Male,Gujarat,3,367213.0,Salaried,4.2,55788.5,439094.0,36,Medical,Secured,10.86,796.0,0.0,0.4057,-1.0,0.0,-1.0,0.0,118.0,872696.0,1.0,2024-08-08,0,0,1,2024,12,4,144.0,1,0,1,0,1,0,0,0,0,1,13417.0,0.2405,1.5246,669462.0,0.6559,0.0,0,0,0,0,0,0,5_excellent,3,Large,21-30,<30%,1.6210987154947387,0.05201670575236686,0.123766687675743,0.055088904789337256
CUST0217936,LN00217936,ABCDE3005F,2024-12-30,2025-01-02,23,Male,Tamil Nadu,2,374949.0,Salaried,0.5,63676.0,109817.0,48,Travel,Unsecured,21.51,633.0,2.0,0.3926,0.0,0.0,0.0,-1.0,180.0,1649391.0,0.0,,1,0,1,2024,12,4,,0,0,0,0,0,1,0,0,0,1,2517.0,0.0395,6.958,764112.0,0.1437,0.0,0,0,0,0,0,0,2_below_avg,3,Medium,21-30,<30%,-0.4418293481453998,0.05201670575236686,0.123766687675743,0.0051811910962659274
CUST0497820,LN00497820,ABCDE3327F,2024-12-30,2025-01-06,36,Male,Kerala,2,551883.0,Business,4.1,51749.0,314497.0,60,Education,Secured,11.89,651.0,0.0,0.3744,0.0,1.0,-1.0,1.0,54.0,1487558.0,-1.0,2024-10-19,0,0,1,2024,12,4,72.0,0,0,0,0,1,0,0,0,1,1,5766.0,0.1114,1.9745,620988.0,0.5064,2.0,0,1,0,0,0,0,3_average,2,Large,31-40,<30%,1.193165060681326,0.020310544640121195,0.019888728292701774,0.055088904789337256
